# A El   Z    S(n) - neutron energy
  1  n   0       * 
 82 Cu  29    5263#
 82 Zn  30    6807.
 82 Ga  31    9849.
 82 Ge  32   12022.
 82 As  33   14033.
 82 Se  34   15977.
 82 Br  35   17752.
 82 Kr  36   18841.
 82 Rb  37   20154.
 82 Sr  38   21841.
 82 Y   39   23058.
 82 Zr  40   25414#
 82 Nb  41   29812#
 82 Mo  42       * 
 83 Zn  30    6233#
 83 Ga  31    7771.
 83 Ge  32   10827.
 83 As  33   13278.
 83 Se  34   15094.
 83 Br  35   17179.
 83 Kr  36   18437.
 83 Rb  37   19756.
 83 Sr  38   21412.
 83 Y   39   22635.
 83 Zr  40   24594.
 83 Nb  41   27338#
 83 Mo  42   30733#
 83 Tc  43       * 
 84 Zn  30    5758#
 84 Ga  31    7300#
 84 Ge  32    8876.
 84 As  33   11890.
 84 Se  34   14496.
 84 Br  35   16427.
 84 Kr  36   17990.
 84 Rb  37   19713.
 84 Sr  38   20782.
 84 Y   39   21972.
 84 Zr  40   23933.
 84 Nb  41   25271#
 84 Mo  42   29943#
 84 Tc  43       * 
 85 Zn  30    5083#
 85 Ga  31    6735#
 85 Ge  32    8289.
 85 As  33    9662.
 85 Se  34   13215.
 85 Br  35   15704.
 85 Kr  36   17632.
 85 Rb  37   19239.
 85 Sr  38   20448.
 85 Y   39   21779.
 85 Zr  40   23406.
 85 Nb  41   24866.
 85 Mo  42   27312#
 85 Tc  43   30673#
 85 Ru  44       * 
 86 Ga  31    6135#
 86 Ge  32    7394.
 86 As  33    9251.
 86 Se  34   10698.
 86 Br  35   13991.
 86 Kr  36   16968.
 86 Rb  37   19130.
 86 Sr  38   20016.
 86 Y   39   21531.
 86 Zr  40   22689.
 86 Nb  41   24057.
 86 Mo  42   26083#
 86 Tc  43   30013#
 86 Ru  44       * 
 87 Ga  31    5543#
 87 Ge  32    7098#
 87 As  33    8571.
 87 Se  34   10155.
 87 Br  35   11458.
 87 Kr  36   15371.
 87 Rb  37   18573.
 87 Sr  38   19919.
 87 Y   39   21318.
 87 Zr  40   22314.
 87 Nb  41   23737.
 87 Mo  42   25517.
 87 Tc  43   27983#
 87 Ru  44   30713#
 88 Ge  32    6881#
 88 As  33    7900#
 88 Se  34    9523.
 88 Br  35   11226.
 88 Kr  36   12568.
 88 Rb  37   16004.
 88 Sr  38   19541.
 88 Y   39   21158.
 88 Zr  40   21802.
 88 Nb  41   23182.
 88 Mo  42   24718.
 88 Tc  43   26254#
 88 Ru  44   30712#
 88 Rh  45       * 
 89 Ge  32    5794#
 89 As  33    7323#
 89 Se  34    8708.
 89 Br  35   10525.
 89 Kr  36   11968.
 89 Rb  37   13257.
 89 Sr  38   17471.
 89 Y   39   20832.
 89 Zr  40   21671.
 89 Nb  41   22893.
 89 Mo  42   24272.
 89 Tc  43   25847.
 89 Ru  44   28883#
 89 Rh  45       * 
 90 Ge  32    5226#
 90 As  33    6753#
 90 Se  34    8058.
 90 Br  35    9426.
 90 Kr  36   11410.
 90 Rb  37   12898.
 90 Sr  38   14169.
 90 Y   39   18337.
 90 Zr  40   21286.
 90 Nb  41   22630.
 90 Mo  42   23628.
 90 Tc  43   25186.
 90 Ru  44   26687#
 90 Rh  45   30982#
 90 Pd  46       * 
 91 As  33    6241#
 91 Se  34    7730.
 91 Br  35    8975.
 91 Kr  36   10580.
 91 Rb  37   12175.
 91 Sr  38   13585.
 91 Y   39   14785.
 91 Zr  40   19162.
 91 Nb  41   22155.
 91 Mo  42   23336.
 91 Tc  43   24734.
 91 Ru  44   26122#
 91 Rh  45   28852#
 91 Pd  46       * 
 92 As  33    5794#
 92 Se  34    7066#
 92 Br  35    8375.
 92 Kr  36    9952.
 92 Rb  37   11550.
 92 Sr  38   13061.
 92 Y   39   14465.
 92 Zr  40   15829.
 92 Nb  41   19934.
 92 Mo  42   22778.
 92 Tc  43   24343.
 92 Ru  44   25560.
 92 Rh  45   27442#
 92 Pd  46   31013#
 92 Ag  47       * 
 93 Se  34    6278#
 93 Br  35    7925.
 93 Kr  36    9304.
 93 Rb  37   11017.
 93 Sr  38   12576.
 93 Y   39   14018.
 93 Zr  40   15369.
 93 Nb  41   16717.
 93 Mo  42   20740.
 93 Tc  43   23762.
 93 Ru  44   25119.
 93 Rh  45   26585#
 93 Pd  46   29213#
 93 Ag  47       * 
 94 Se  34    6222#
 94 Br  35    7310#
 94 Kr  36    8721.
 94 Rb  37    9932.
 94 Sr  38   12120.
 94 Y   39   13677.
 94 Zr  40   14952.
 94 Nb  41   16058.
 94 Mo  42   17748.
 94 Tc  43   21375.
 94 Ru  44   24425.
 94 Rh  45   26051.
 94 Pd  46   27665#
 94 Ag  47   31422#
 94 Cd  48       * 
 95 Se  34    5887#
 95 Br  35    7023#
 95 Kr  36    8165.
 95 Rb  37    9414.
 95 Sr  38   11176.
 95 Y   39   13124.
 95 Zr  40   14680.
 95 Nb  41   15716.
 95 Mo  42   17047.
 95 Tc  43   18557.
 95 Ru  44   22383.
 95 Rh  45   25471.
 95 Pd  46   27108#
 95 Ag  47   29472#
 95 Cd  48       * 
 96 Br  35    6906#
 96 Kr  36    7874.
 96 Rb  37    8934.
 96 Sr  38   10221.
 96 Y   39   12127.
 96 Zr  40   14312.
 96 Nb  41   15376.
 96 Mo  42   16523.
 96 Tc  43   17805.
 96 Ru  44   19639.
 96 Rh  45   22922.
 96 Pd  46   26223.
 96 Ag  47   28245#
 96 Cd  48   31576#
 96 In  49       * 
 97 Br  35    6427#
 97 Kr  36    7407.
 97 Rb  37    8770.
 97 Sr  38    9604.
 97 Y   39   11055.
