# A Z El S(n) - neutron energy
# 89 39 Y 11480.65
# A El   Z    S(n) - neutron energy
 82 Se  34    9276.2
 82 Br  35    7592.9
 82 Kr  36   10966.9
 82 Rb  37    8802.4
 82 Sr  38   12553.2
 82 Y   39   10422.5
 82 Zr  40   14242.4
 82 Nb  41   13801# 
 82 Mo  42   16691# 
 83 Zn  30    2047# 
 83 Ga  31    4397.7
 83 Ge  32    3632.6
 83 As  33    7635.2
 83 Se  34    5817.9
 83 Br  35    9586.3
 83 Kr  36    7470.1
 83 Rb  37   10954.1
 83 Sr  38    8858.8
 83 Y   39   12212.8
 83 Zr  40   10351.6
 83 Nb  41   13537# 
 83 Mo  42   14041# 
 83 Tc  43       *  
 84 Zn  30    3711# 
 84 Ga  31    2902# 
 84 Ge  32    5243.3
 84 As  33    4255.5
 84 Se  34    8678.5
 84 Br  35    6840.6
 84 Kr  36   10520.0
 84 Rb  37    8759.6
 84 Sr  38   11923.2
 84 Y   39    9760.0
 84 Zr  40   13581.3
 84 Nb  41   11733.9
 84 Mo  42   15901# 
 84 Tc  43   14452# 
 85 Zn  30    1372# 
 85 Ga  31    3833# 
 85 Ge  32    3046.3
 85 As  33    5406.9
 85 Se  34    4537.2
 85 Br  35    8863.7
 85 Kr  36    7112.3
 85 Rb  37   10479.6
 85 Sr  38    8525.0
 85 Y   39   12019.0
 85 Zr  40    9824.8
 85 Nb  41   13132.2
 85 Mo  42   11411# 
 85 Tc  43   16221# 
 85 Ru  44       *  
 86 Ga  31    2302# 
 86 Ge  32    4347.8
 86 As  33    3844.3
 86 Se  34    6160.8
 86 Br  35    5128.1
 86 Kr  36    9856.6
 86 Rb  37    8650.9
 86 Sr  38   11491.1
 86 Y   39    9512.2
 86 Zr  40   12865.1
 86 Nb  41   10925.7
 86 Mo  42   14671.8
 86 Tc  43   13792# 
 86 Ru  44   16892# 
 87 Ga  31    3242# 
 87 Ge  32    2750# 
 87 As  33    4727.0
 87 Se  34    3994.2
 87 Br  35    6330.7
 87 Kr  36    5515.1
 87 Rb  37    9922.1
 87 Sr  38    8428.2
 87 Y   39   11806.6
 87 Zr  40    9449.4
 87 Nb  41   12811.7
 87 Mo  42   10845.8
 87 Tc  43   14191# 
 87 Ru  44   13821# 
 88 Ge  32    4131# 
 88 As  33    3173# 
 88 Se  34    5529.3
 88 Br  35    4895.6
 88 Kr  36    7053.0
 88 Rb  37    6082.5
 88 Sr  38   11112.8
 88 Y   39    9351.9
 88 Zr  40   12353.0
 88 Nb  41   10370.4
 88 Mo  42   13873.0
 88 Tc  43   12062.5
 88 Ru  44   16891# 
 88 Rh  45       *  
 89 Ge  32    1663# 
 89 As  33    4150# 
 89 Se  34    3179.5
 89 Br  35    5629.6
 89 Kr  36    4915.8
 89 Rb  37    7174.7
 89 Sr  38    6358.7
 89 Y   39   11480.6
 89 Zr  40    9318.0
 89 Nb  41   12522.9
 89 Mo  42   10399.7
 89 Tc  43   13784.8
 89 Ru  44   11992# 
 89 Rh  45   17072# 
 90 Ge  32    3563# 
 90 As  33    2603# 
 90 Se  34    4879.1
 90 Br  35    3797.3
 90 Kr  36    6494.7
 90 Rb  37    5723.3
 90 Sr  38    7810.4
 90 Y   39    6857.0
 90 Zr  40   11968.2
 90 Nb  41   10107.6
 90 Mo  42   13228.8
 90 Tc  43   11401.1
 90 Ru  44   14695# 
 90 Rh  45   13910# 
 90 Pd  46       *  
 91 As  33    3637# 
 91 Se  34    2851.2
 91 Br  35    5178.3
 91 Kr  36    4086.0
 91 Rb  37    6451.9
 91 Sr  38    5775.1
 91 Y   39    7928.5
 91 Zr  40    7194.3
 91 Nb  41   12047.8
 91 Mo  42   10107.6
 91 Tc  43   13333.2
 91 Ru  44   11427.3
 91 Rh  45   14941# 
 91 Pd  46   14292# 
 92 As  33    2156# 
 92 Se  34    4215# 
 92 Br  35    3196.8
 92 Kr  36    5866.6
 92 Rb  37    5098.7
 92 Sr  38    7286.7
 92 Y   39    6536.5
 92 Zr  40    8634.7
 92 Nb  41    7886.6
 92 Mo  42   12671.0
 92 Tc  43   11010.3
 92 Ru  44   14132.7
 92 Rh  45   12501# 
 92 Pd  46   16721# 
 92 Ag  47       *  
 93 Se  34    2063# 
 93 Br  35    4728.7
 93 Kr  36    3437.9
 93 Rb  37    5918.7
 93 Sr  38    5289.7
 93 Y   39    7481.9
 93 Zr  40    6734.3
 93 Nb  41    8830.8
 93 Mo  42    8069.8
 93 Tc  43   12751.7
 93 Ru  44   10986.8
 93 Rh  45   14084.0
 93 Pd  46   12492# 
 93 Ag  47   17208# 
 94 Se  34    4159# 
 94 Br  35    2581# 
 94 Kr  36    5283.0
 94 Rb  37    4014.2
 94 Sr  38    6831.1
 94 Y   39    6195.6
 94 Zr  40    8218.6
 94 Nb  41    7227.5
 94 Mo  42    9678.3
 94 Tc  43    8623.5
 94 Ru  44   13438.2
 94 Rh  45   11967.1
 94 Pd  46   15173# 
 94 Ag  47   14214# 
 94 Cd  48       *  
 95 Se  34    1728# 
 95 Br  35    4442# 
 95 Kr  36    2882.4
 95 Rb  37    5400.0
 95 Sr  38    4345.1
 95 Y   39    6928.7
 95 Zr  40    6461.9
