# A Z El S(n) - neutron energy
# 89 39 Y 11480.65
# A El   Z    S(n) - neutron energy
258 Fm 100    6235# 
258 Md 101    5377.5
258 No 102    6841# 
258 Lr 103    5955# 
258 Rf 104    7596.7
258 Db 105    6481# 
258 Sg 106       *  
259 Fm 100    4793# 
259 Md 101    6134# 
259 No 102    5470# 
259 Lr 103    7002# 
259 Rf 104    6050# 
259 Db 105    7877# 
259 Sg 106    6795# 
260 Fm 100    6010# 
260 Md 101    5144# 
260 No 102    6538# 
260 Lr 103    5646# 
260 Rf 104    7287# 
260 Db 105    6390# 
260 Sg 106    8043# 
260 Bh 107       *  
261 Md 101    6045# 
261 No 102    5228# 
261 Lr 103    6790# 
261 Rf 104    5900# 
261 Db 105    7436# 
261 Sg 106    6613.8
261 Bh 107    8261# 
262 Md 101    5023# 
262 No 102    6425# 
262 Lr 103    5528# 
262 Rf 104    6997# 
262 Db 105    6126# 
262 Sg 106    7710.5
262 Bh 107    6663# 
263 No 102    5043# 
263 Lr 103    6444# 
263 Rf 104    5708# 
263 Db 105    7214# 
263 Sg 106    6247# 
263 Bh 107    8117# 
263 Hs 108       *  
264 No 102    6190# 
264 Lr 103    5424# 
264 Rf 104    6750# 
264 Db 105    5821# 
264 Sg 106    7480# 
264 Bh 107    6510# 
264 Hs 108    8186# 
265 Lr 103    6215# 
265 Rf 104    5458# 
265 Db 105    6950# 
265 Sg 106    6059# 
265 Bh 107    7714# 
265 Hs 108    6734.2
265 Mt 109       *  
266 Lr 103    4683# 
266 Rf 104    6685# 
266 Db 105    5818# 
266 Sg 106    7248# 
266 Bh 107    6382# 
266 Hs 108    7835.2
266 Mt 109    6787# 
267 Rf 104    4703# 
267 Db 105    6734# 
267 Sg 106    5883# 
267 Bh 107    7410# 
267 Hs 108    6555# 
267 Mt 109    8242# 
267 Ds 110       *  
268 Rf 104    6040# 
268 Db 105    5084# 
268 Sg 106    7075# 
268 Bh 107    6031# 
268 Hs 108    7894# 
268 Mt 109    6711# 
268 Ds 110    8303# 
269 Db 105    5985# 
269 Sg 106    5110# 
269 Bh 107    7400# 
269 Hs 108    6337# 
269 Mt 109    7852# 
269 Ds 110    6885# 
270 Db 105    4913# 
270 Sg 106    6343# 
270 Bh 107    5323# 
270 Hs 108    7523# 
270 Mt 109    6731# 
270 Ds 110    8227.7
271 Sg 106    4805# 
271 Bh 107    6376# 
271 Hs 108    5444# 
271 Mt 109    7681# 
271 Ds 110    6802# 
272 Sg 106    6248# 
272 Bh 107    5203# 
272 Hs 108    6805# 
272 Mt 109    5591# 
272 Ds 110    8004# 
272 Rg 111       *  
273 Sg 106    4634# 
273 Bh 107    6228# 
273 Hs 108    5188# 
273 Mt 109    6940# 
273 Ds 110    5730# 
273 Rg 111    8150# 
274 Bh 107    5023# 
274 Hs 108    6476# 
274 Mt 109    5538# 
274 Ds 110    7230# 
274 Rg 111    6153# 
275 Bh 107    6062# 
275 Hs 108    4938# 
275 Mt 109    6488# 
275 Ds 110    5704# 
275 Rg 111    7389# 
276 Hs 108    6405# 
276 Mt 109    5585# 
276 Ds 110    7095# 
276 Rg 111    5881# 
276 Cn 112       *  
277 Hs 108    4864# 
277 Mt 109    6418# 
277 Ds 110    5472# 
277 Rg 111    7220# 
277 Cn 112    6021# 
278 Mt 109    5304# 
278 Ds 110    6831# 
278 Rg 111    5892# 
278 Cn 112    7542# 
278 Ed 113       *  
279 Mt 109    6311# 
279 Ds 110    5326# 
279 Rg 111    6814# 
279 Cn 112    5974# 
279 Ed 113    7721# 
280 Ds 110    6677# 
280 Rg 111    5960# 
280 Cn 112    7405# 
280 Ed 113    6170# 
281 Ds 110    5161# 
281 Rg 111    6660# 
281 Cn 112    5748# 
281 Ed 113    7402# 
282 Rg 111    5568# 
282 Cn 112    7115# 
282 Ed 113    6156# 
283 Rg 111    6591# 
283 Cn 112    5561# 
283 Ed 113    7090# 
284 Cn 112    7012# 
284 Ed 113    6187# 
284 Fl 114       *  
285 Cn 112    5443# 
285 Ed 113    6932# 
285 Fl 114    5990# 
286 Ed 113    5787# 
286 Fl 114    7301# 
287 Ed 113    6840# 
287 Fl 114    5772# 
287 Ef 115       *  
288 Fl 114    7102# 
288 Ef 115    6196# 
289 Fl 114    5549# 
289 Ef 115    7176# 
289 Lv 116       *  
290 Ef 115    5844# 
290 Lv 116    7401# 
291 Ef 115    6975# 
291 Lv 116    5882# 
291 Eh 117       *  
292 Lv 116    7217# 
292 Eh 117    6296# 
293 Lv 116    5644# 
293 Eh 117    7262# 
293 Ei 118       *  
294 Eh 117    5935# 
294 Ei 118    7481# 
295 Ei 118    6022# 
